id,researcher1,researcher2,reason,expiry
1254,25,139,,
1255,23,57,,
1263,65,181,,
1265,118,123,,
1266,7,40,,
1268,59,88,,
1270,130,139,,
1271,124,167,,
1275,77,149,,
1276,78,108,,
1277,75,139,,
1278,46,171,,
1281,172,184,,
1282,162,190,,
1284,19,146,,
1288,73,175,,
1291,88,105,,
1292,167,172,,
1293,132,187,,
1297,71,128,,
1299,19,185,,
1303,120,171,,
1304,147,191,,
1306,134,172,,
1310,46,52,,
1311,131,191,,
1312,127,135,,
1313,108,180,,
1314,56,140,,
1317,45,54,,
1320,87,154,,
1322,109,137,,
1323,19,33,,
1324,2,147,,
1325,4,174,,
1326,19,160,,
1327,23,89,,
1332,11,92,,
1336,10,163,,
1337,51,138,,
1342,105,117,,
1343,87,116,,
1345,83,156,,
1346,55,59,,
1347,69,166,,
1348,26,74,,
1351,82,136,,
1352,43,152,,
1354,4,179,,
1355,74,83,,
1356,6,128,,
1357,82,119,,
1358,86,171,,
1361,118,160,,
1362,18,113,,
1364,3,146,,
1365,53,140,,
1366,55,87,,
1367,107,159,,
1368,84,137,,
1371,13,47,,
1372,46,113,,
1374,9,40,,
1375,37,93,,
1376,71,84,,
1378,93,123,,
1379,5,67,,
1382,129,172,,
1384,47,56,,
1388,46,189,,
1390,48,155,,
1394,40,158,,
1397,105,164,,
1398,82,179,,
1399,41,64,,
1400,10,81,,
1402,33,81,,
1403,16,190,,
1404,86,128,,
1405,19,28,,
1406,54,139,,
1408,51,65,,
1410,58,149,,
1412,131,186,,
1414,28,44,,
1415,134,176,,
1418,73,144,,
1419,30,52,,
1420,34,47,,
1421,26,67,,
1424,75,167,,
1426,25,68,,
1427,26,45,,
1428,85,165,,
1429,35,148,,
1430,125,188,,
1434,135,184,,
1435,63,71,,
1436,99,200,,
1438,101,112,,
1439,3,130,,
1440,47,57,,
1451,54,73,,
1453,156,189,,
1455,26,146,,
1456,12,96,,
1457,71,159,,
1465,146,191,,
1467,136,176,,
1468,118,180,,
1470,15,117,,
1474,24,155,,
1478,64,170,,
1480,91,190,,
1481,21,170,,
1482,152,198,,
1485,42,130,,
1487,134,188,,
1489,145,188,,
1490,130,154,,
1494,4,99,,
1495,5,188,,
1496,40,58,,
1497,162,174,,
1502,74,77,,
1504,2,5,,
1508,151,174,,
1509,107,200,,
1510,2,51,,
1511,111,169,,
1512,40,200,,
1513,126,195,,
1514,34,101,,
1516,112,148,,
1519,75,142,,
1521,32,41,,
1522,8,48,,
1523,88,102,,
1524,148,174,,
1525,18,140,,
1527,125,192,,
1529,9,13,,
1535,120,179,,
1536,87,93,,
1538,131,139,,
1539,9,30,,
1542,17,188,,
1544,56,174,,
1547,115,175,,
1548,10,138,,
1550,43,134,,
1551,64,146,,
1552,160,184,,
1553,14,45,,
1555,137,198,,
1556,19,64,,
1557,163,185,,
1558,25,172,,
1561,90,198,,
1562,144,169,,
1563,61,93,,
1567,109,194,,
1571,32,111,,
1572,22,49,,
1573,20,196,,
1576,17,155,,
1579,159,198,,
1580,153,159,,
1581,145,178,,
1582,33,43,,
1585,123,130,,
1586,100,164,,
1587,12,109,,
1589,50,188,,
1591,34,180,,
1592,120,176,,
1596,58,80,,
1597,1,79,,
1598,84,129,,
1599,103,116,,
1602,14,165,,
1603,41,135,,
1607,110,123,,
1608,24,180,,
1615,104,188,,
1619,170,177,,
1620,28,173,,
1622,32,71,,
1625,37,132,,
1630,91,132,,
1633,9,176,,
1634,130,145,,
1636,44,52,,
1638,64,190,,
1639,36,119,,
1640,104,152,,
1641,15,75,,
1642,5,39,,
1645,47,84,,
1648,28,56,,
1651,115,159,,
1652,102,193,,
1653,88,156,,
1655,112,130,,
1656,49,130,,
1657,59,140,,
1659,12,140,,
1660,49,163,,
1670,16,165,,
1671,21,72,,
1673,90,120,,
1675,88,121,,
1678,52,162,,
1681,70,79,,
1686,135,147,,
1694,123,191,,
1697,124,130,,
1699,88,156,,
1702,91,109,,
1703,37,142,,
1705,94,169,,
1706,8,48,,
1707,37,175,,
1709,107,150,,
1714,27,52,,
1716,16,40,,
1717,121,158,,
1718,107,159,,
1719,26,80,,
1720,132,196,,
1725,159,190,,
1727,84,158,,
1730,81,167,,
1731,58,131,,
1733,34,172,,
1735,20,53,,
1741,57,179,,
1743,39,161,,
1744,75,128,,
1747,46,69,,
1748,14,120,,
1749,139,185,,
1750,24,76,,
1751,75,172,,
1753,50,172,,
1754,20,187,,
1755,16,185,,
1758,71,103,,
1759,34,135,,
1762,7,80,,
1764,147,167,,
1767,73,119,,
1769,165,186,,
1770,1,78,,
1775,30,103,,
1777,110,168,,
1778,19,186,,
1779,38,199,,
1780,103,156,,
1783,161,198,,
1784,60,176,,
1788,159,172,,
1789,158,196,,
1790,125,178,,
1791,72,136,,
1794,81,145,,
1797,88,172,,
1798,1,124,,
1802,14,137,,
1805,17,106,,
1808,62,87,,
1810,17,159,,
1816,162,192,,
1817,135,184,,
1818,64,132,,
1819,63,66,,
1823,20,56,,
1825,52,193,,
1826,72,160,,
1830,138,194,,
1831,21,82,,
1832,21,128,,
1833,90,98,,
1834,50,195,,
1836,18,93,,
1837,62,64,,
1838,82,181,,
1841,48,67,,
1843,32,114,,
1845,137,157,,
1846,77,186,,
1847,92,105,,
1848,39,110,,
1849,40,167,,
1852,10,170,,
1856,7,29,,
1858,172,178,,
1859,116,121,,
1864,35,189,,
1865,74,194,,
1867,81,107,,
1870,32,116,,
1872,67,114,,
1873,109,117,,
1874,87,184,,
1876,78,155,,
1879,12,173,,
1881,11,51,,
1882,7,20,,
1883,37,171,,
1884,81,114,,
1885,16,70,,
1887,153,181,,
1888,2,185,,
1890,53,105,,
1892,65,119,,
1893,65,199,,
1895,22,139,,
1900,51,182,,
1901,146,196,,
1902,77,103,,
1906,143,151,,
1907,55,88,,
1908,44,125,,
1910,90,115,,
1913,20,131,,
1914,8,138,,
1916,130,170,,
1917,130,184,,
1924,135,176,,
1927,16,43,,
1928,55,178,,
1936,79,185,,
1937,145,196,,
1942,6,193,,
1945,89,105,,
1946,145,172,,
1948,168,199,,
1951,54,60,,
1952,52,67,,
1954,27,49,,
1955,26,57,,
1956,2,11,,
1957,21,50,,
1958,31,180,,
1964,65,107,,
1968,2,77,,
1970,10,15,,
1972,132,156,,
1973,70,196,,
1974,68,143,,
1975,58,84,,
1978,9,18,,
1979,38,144,,
1980,54,70,,
1981,88,89,,
1984,44,197,,
1986,82,160,,
1987,6,17,,
1988,1,106,,
1990,29,98,,
1991,10,169,,
1994,159,162,,
1996,80,171,,
1998,56,120,,
1999,104,167,,
2000,112,172,,
2002,32,131,,
2004,171,190,,
2008,86,144,,
2009,3,165,,
2011,100,182,,
2014,3,36,,
2015,167,190,,
2019,15,52,,
2020,58,79,,
2021,58,200,,
2022,39,79,,
2025,91,122,,
2027,15,102,,
2029,49,158,,
2030,8,163,,
2031,74,114,,
2032,62,185,,
2033,9,163,,
2036,16,148,,
2037,45,143,,
2040,41,107,,
2042,73,106,,
2045,20,119,,
2046,75,142,,
2047,38,172,,
2048,10,66,,
2049,51,114,,
2052,60,64,,
2057,82,94,,
2060,1,106,,
2062,34,196,,
2066,6,81,,
2067,23,168,,
2068,15,199,,
2071,26,180,,
2077,4,14,,
2078,29,175,,
2079,33,122,,
2084,34,171,,
2086,133,195,,
2088,73,160,,
2089,131,166,,
2090,9,200,,
2091,46,171,,
2092,156,199,,
2094,23,80,,
2096,110,177,,
2097,82,84,,
2100,130,140,,
2102,90,152,,
2104,65,188,,
2105,3,76,,
2106,129,176,,
2107,44,72,,
2108,78,187,,
2111,7,140,,
2112,5,74,,
2114,40,83,,
2116,27,63,,
2119,80,185,,
2120,15,55,,
2121,133,140,,
2122,60,110,,
2123,46,89,,
2124,110,111,,
2126,36,155,,
2128,148,152,,
2129,16,52,,
2130,63,116,,
2132,158,159,,
2133,51,92,,
2134,24,130,,
2138,41,102,,
2139,46,101,,
2140,33,98,,
2143,84,143,,
2146,157,183,,
2149,1,59,,
2152,79,176,,
2156,101,171,,
2157,54,116,,
2158,182,192,,
2159,63,195,,
2161,46,96,,
2163,118,192,,
2174,166,200,,
2176,3,183,,
2178,112,187,,
2180,7,176,,
2183,80,115,,
2185,84,163,,
2186,18,86,,
2187,54,91,,
2188,24,156,,
2194,72,164,,
2197,43,145,,
2200,53,172,,
2203,141,179,,
2205,99,154,,
2206,44,168,,
2212,99,175,,
2213,15,66,,
2214,115,124,,
2215,166,199,,
2216,39,165,,
2218,165,193,,
2228,134,184,,
2230,126,127,,
2231,17,55,,
2232,61,196,,
2234,26,98,,
2237,29,34,,
2238,41,147,,
2239,41,86,,
2240,19,130,,
2242,86,193,,
2248,53,165,,
2249,92,121,,
2250,45,95,,
2253,137,196,,
2255,24,125,,
2260,78,127,,
2262,163,180,,
2264,15,144,,
2265,67,124,,
2266,63,103,,
2268,92,187,,
2273,53,84,,
2276,119,131,,
2277,117,178,,
2281,91,131,,
2282,48,159,,
2283,17,92,,
2285,47,168,,
2286,163,172,,
2287,102,164,,
2288,73,136,,
2289,90,188,,
2290,129,156,,
2291,124,175,,
2293,102,187,,
2294,89,114,,
2296,158,162,,
2300,55,152,,
2304,10,88,,
2305,87,116,,
2310,70,85,,
2313,18,98,,
2314,94,193,,
2315,51,53,,
2318,40,131,,
2319,1,159,,
2322,24,147,,
2325,23,54,,
2326,103,188,,
2327,74,172,,
2328,37,103,,
2329,26,164,,
2330,93,144,,
2333,6,178,,
2334,144,156,,
2338,82,101,,
2342,64,159,,
2343,88,133,,
2346,109,140,,
2347,124,183,,
2348,42,192,,
2349,3,18,,
2350,81,199,,
2352,177,198,,
2353,27,90,,
2356,131,183,,
2358,40,103,,
2359,48,109,,
2360,55,105,,
2361,54,110,,
2362,54,131,,
2363,28,57,,
2367,134,187,,
2368,26,45,,
2369,80,157,,
2372,3,70,,
2373,111,162,,
2374,122,197,,
2379,45,122,,
2380,57,137,,
2384,132,165,,
2385,108,160,,
2389,18,158,,
2390,116,124,,
2391,120,149,,
2393,13,181,,
2394,157,169,,
2395,177,193,,
2399,78,81,,
2401,109,133,,
2404,79,84,,
2406,92,125,,
2407,36,53,,
2408,26,106,,
2413,94,187,,
2415,52,115,,
2417,134,153,,
2418,8,126,,
2419,23,51,,
2420,79,190,,
2421,137,140,,
2422,54,169,,
2423,94,107,,
2424,34,189,,
2425,136,149,,
2427,151,182,,
2429,83,108,,
2430,8,107,,
2431,52,61,,
2432,10,130,,
2435,33,191,,
2439,70,171,,
2440,102,166,,
2443,57,185,,
2444,44,74,,
2449,67,126,,
2450,14,35,,
2452,15,72,,
2456,20,93,,
2458,46,81,,
2460,47,131,,
2461,59,134,,
2462,4,44,,
2463,12,160,,
2465,92,186,,
2467,20,199,,
2469,149,161,,
2470,19,190,,
2472,55,171,,
2473,13,150,,
2475,27,200,,
2476,44,136,,
2477,172,178,,
2479,29,176,,
2480,78,195,,
2484,57,107,,
2485,81,163,,
2486,55,76,,
2489,25,181,,
2491,28,110,,
2492,28,75,,
2493,100,158,,
2494,111,119,,
2496,60,191,,
2497,119,153,,
2498,108,116,,
2500,113,160,,
